Code,Q:TFBT(P),Q:SBBT(P),Q:BBLT(P),Q:BAYT(P),Q:KTBT(P),Q:TIST(P),Q:TMBT(P),Q:UBTT(P),Q:KNFT(P),Q:LHBA(P),Q:NFST(P)
1/1/2010,85,86.75,116,22.5,9.27,22.88,1.13,1.75,25.5,,22.1
1/4/2010,84.5,85.25,115.5,22.1,9.31,23.25,1.2,1.84,25.5,,21.9
1/5/2010,84.5,85,114,22,9.36,23.16,1.19,1.9,26,,21.5
1/6/2010,85.75,85.5,115.5,22,9.5,23.16,1.24,1.88,26,,21.1
1/7/2010,86.75,86.75,115.5,21.5,9.69,23.25,1.26,1.86,26,,20.8
1/8/2010,88,87.5,115.5,21.8,9.88,23.16,1.29,1.83,26,,21.1
1/11/2010,87.5,87.25,115.5,22,9.69,23.25,1.28,1.84,26.5,,21
1/12/2010,88,87.25,116,22,9.78,23.44,1.26,1.83,26,,20.9
1/13/2010,88,87.75,117,22,9.69,23.44,1.28,1.82,25.75,,21.4
1/14/2010,87.75,87.25,119,21.9,9.78,23.35,1.27,1.8,26,,21.6
1/15/2010,86.5,85.5,117.5,21.5,9.69,23.25,1.26,1.79,26,,21.2
1/18/2010,86,85.25,116.5,21.3,9.88,22.88,1.25,1.78,26,,21.1
1/19/2010,84.75,84,115,20.8,9.5,22.4,1.26,1.74,25.5,,21
1/20/2010,84,82.5,116,20.3,9.41,22.4,1.24,1.68,25.25,,20.8
1/21/2010,82.5,81,114.5,20,9.27,21.84,1.23,1.67,25,,20.7
1/22/2010,82.25,80.25,114.5,19.8,9.17,22.12,1.19,1.6,25.25,,20.6
1/25/2010,83.75,82.25,113.5,19.4,9.22,22.03,1.19,1.56,24.9,,20.4
1/26/2010,82,80.75,113,19.5,9.08,21.84,1.16,1.51,24.8,,20.2
1/27/2010,81.25,79.5,111.5,19,9.08,20.8,1.14,1.42,24.2,,19.2
1/28/2010,81.5,79.5,112,19,8.94,20.89,1.12,1.34,24,,18.9
1/29/2010,82.5,79.75,113,19.5,9.03,20.8,1.16,1.37,24.1,,19.4
2/1/2010,82.5,79.25,113,19.4,9.08,20.61,1.17,1.37,23.9,,21.4
2/2/2010,81.75,79.5,111.5,19.1,9.08,20.7,1.15,1.62,23.9,,20.4
2/3/2010,84,81.25,113,20,9.22,21.27,1.2,1.63,24.5,,21
2/4/2010,82.25,81,112,19.8,9.13,21.08,1.19,1.6,24.7,,21
2/5/2010,79.5,79,111.5,19.4,8.89,20.42,1.17,1.56,24.6,,20.4
2/8/2010,78.5,78.25,107.5,19.1,8.75,19.95,1.16,1.64,24.2,,20.3
2/9/2010,79.5,78.5,107.5,18.8,8.7,19.95,1.18,1.63,24.2,,20
2/10/2010,79.75,79.5,107.5,18.9,8.66,19.95,1.14,1.55,24.4,,19.8
2/11/2010,79.75,80.25,107.5,19.1,8.94,20.42,1.16,1.58,24.7,,20
2/12/2010,79.75,80.25,108,19.4,8.98,20.42,1.15,1.55,24.7,,20.2
2/15/2010,77.75,78.25,105.5,19.2,8.75,20.13,1.13,1.48,24.7,,19.8
2/16/2010,79,80.5,106,19.3,8.8,20.23,1.14,1.54,24.6,,19.9
2/17/2010,80,81,107,19.3,8.84,21.08,1.14,1.55,24.9,,20.1
2/18/2010,80,79.5,108,19.3,8.84,20.89,1.13,1.51,24.8,,19.8
2/19/2010,79.75,79,109,19.5,8.94,21.08,1.13,1.51,24.8,,19.8
2/22/2010,80.5,79.5,109.5,19.5,9.13,21.46,1.15,1.52,25,,19.7
2/23/2010,83,80.75,111.5,20,9.31,21.84,1.2,1.58,25,,19.9
2/24/2010,84.75,82.5,114,20.4,9.17,21.84,1.21,1.56,24.9,,20
2/25/2010,85.75,83.5,115,20.1,9.22,22.31,1.19,1.62,25.25,,20
2/26/2010,86.5,84,116.5,20.5,9.41,22.4,1.2,1.62,25,,20.1
3/1/2010,86.5,84,116.5,20.5,9.41,22.4,1.2,1.62,25,,20.1
3/2/2010,88.75,85.75,119,20.8,9.6,22.4,1.25,1.79,25,,20.5
3/3/2010,88,86.5,120.5,21.1,9.6,22.59,1.23,1.75,25.75,,20.8
3/4/2010,87.5,85.75,119,20.8,9.41,23.07,1.27,1.83,25.5,,20.7
3/5/2010,87.75,86,119.5,20.4,9.41,23.07,1.25,1.76,25.25,,20.4
3/8/2010,87.75,84.5,119,19.6,9.41,22.4,1.22,1.68,25,,20.1
3/9/2010,86.25,83.75,118,19.8,9.41,22.78,1.21,1.64,25,,20
3/10/2010,86.25,84.5,118,19.7,9.5,22.78,1.21,1.7,25.25,,20.7
3/11/2010,86.75,85,119.5,19.9,9.6,22.78,1.23,1.72,24.9,,21.2
3/12/2010,88.25,86.25,123,20.5,9.78,22.97,1.24,1.72,25,,21.4
3/15/2010,88.5,86.5,126,20.5,10.07,22.97,1.25,1.72,25.25,,21.3
3/16/2010,89.75,89.25,127,21.5,10.25,23.25,1.3,1.82,25.75,,21.5
3/17/2010,91.75,90.25,129,22.1,10.25,24.34,1.31,1.83,26.25,,22.9
3/18/2010,91.25,88.75,126.5,21.8,10.16,24.11,1.28,1.83,25.75,,23.8
3/19/2010,96,93,131,22.4,10.44,25.05,1.32,1.99,27.25,,24.8
3/22/2010,97.5,92,128,21.9,10.63,24.81,1.31,2,27,,25.5
3/23/2010,97.25,91.25,131,21.9,11.01,25.52,1.33,2.03,27,,25.75
3/24/2010,98.75,94,135,22.1,10.82,25.29,1.32,2.04,27.25,,25.75
3/25/2010,100,94,135,21.7,10.91,25.05,1.33,2,27,,25.5
3/26/2010,98,93.5,135,21,10.82,24.58,1.3,1.82,26.75,,24.5
3/29/2010,94.5,91.25,132.5,20.9,10.72,25.52,1.26,1.8,27,,24.1
3/30/2010,97.75,93.75,134,21.6,11.1,25.52,1.3,1.87,27.5,,25.75
3/31/2010,96.5,92,131.5,21.2,11.48,25.52,1.28,1.87,27.5,,24.8
4/1/2010,97.75,92,130.5,21.6,11.67,25.52,1.3,1.9,28,,25
4/2/2010,97.5,91.75,128.5,21.4,11.76,24.81,1.27,1.9,28,,24.9
4/5/2010,97.75,93,128,21.6,12.04,24.81,1.28,1.91,27.75,,24.8
4/6/2010,97.75,93,128,21.6,12.04,24.81,1.28,1.91,27.75,,24.8
4/7/2010,102.5,92.75,130.5,21.4,12.89,25.05,1.27,1.95,28.25,,25
4/8/2010,96,88.75,124,20.1,12.51,24.81,1.23,1.84,27.25,,24.5
4/9/2010,97.25,87,122.5,20.6,13.08,24.81,1.24,1.9,27.5,,24.5
4/12/2010,92,85,116,19.7,12.32,23.16,1.18,1.83,26.5,,23.7
4/13/2010,92,85,116,19.7,12.32,23.16,1.18,1.83,26.5,,23.7
4/14/2010,92,85,116,19.7,12.32,23.16,1.18,1.83,26.5,,23.7
4/15/2010,92,85,116,19.7,12.32,23.16,1.18,1.83,26.5,,23.7
4/16/2010,84.75,81.5,118,19.2,11.48,22.5,1.12,1.8,26,,22.8
4/19/2010,85.25,82,117,18.9,11.1,22.31,1.12,1.82,26,,21.3
4/20/2010,91.5,86.25,123,20.2,12.23,23.87,1.18,1.92,28,,23.1
4/21/2010,91,86,124,19.9,11.95,24.34,1.15,1.87,27.5,,22.7
4/22/2010,93.25,85.75,119,20,11.67,24.81,1.16,1.92,27.75,,22.8
4/23/2010,91.75,83.25,116,19.5,11.48,24.58,1.15,1.9,27.75,,22.5
4/26/2010,91.75,83,119,19.6,11.76,24.58,1.16,1.91,28,,22.7
4/27/2010,90.75,82,117.5,19.4,11.85,24.11,1.16,1.91,28,,22.6
4/28/2010,89.75,79.5,113,19,11.48,23.54,1.18,1.88,26.25,,22.2
4/29/2010,89.5,80.5,115.5,19.2,11.48,24.11,1.21,1.9,26.75,,22.4
4/30/2010,90.25,82,116.5,19.4,11.57,24.58,1.23,1.95,26.75,,22.7
5/3/2010,90.25,82,116.5,19.4,11.57,24.58,1.23,1.95,26.75,,22.7
5/4/2010,97.25,88.5,123.5,20.6,12.14,26,1.29,2.04,27.25,,24.1
5/5/2010,97.25,88.5,123.5,20.6,12.14,26,1.29,2.04,27.25,,24.1
5/6/2010,93.5,86.25,120,20.5,11.76,24.58,1.27,2.03,27,,23.8
5/7/2010,90.25,83.5,117.5,19.8,11.38,23.63,1.24,2,26.5,,23.3
5/10/2010,92,85.75,121,20.3,11.67,24.11,1.27,2.03,27,,23.8
5/11/2010,91,84.25,119,19.7,11.38,23.87,1.27,2.01,27,,23.4
5/12/2010,91.25,85.25,120,19.8,11.48,23.87,1.24,2,26.75,,23.4
5/13/2010,90,84.5,118.5,19.6,11.29,23.87,1.23,1.99,26.25,,23.2
5/14/2010,90.25,84,118,19.8,11.38,23.87,1.24,2.03,26,,23.3
5/17/2010,87,81,117,19.5,11.1,23.44,1.23,1.96,25.25,,22.7
5/18/2010,87.25,81.25,117.5,19.7,11.2,23.16,1.24,1.97,25.75,,23
5/19/2010,88,82.5,118,19.7,11.38,23.35,1.26,2.01,26,,23.3
5/20/2010,88,82.5,118,19.7,11.38,23.35,1.26,2.01,26,,23.3
5/21/2010,88,82.5,118,19.7,11.38,23.35,1.26,2.01,26,,23.3
