Code,Q:TFBT(VO),Q:SBBT(VO),Q:BBLT(VO),Q:BAYT(VO),Q:KTBT(VO),Q:TIST(VO),Q:TMBT(VO),Q:UBTT(VO),Q:KNFT(VO),Q:LHBA(VO),Q:NFST(VO)
1/1/2010,,,,,,,,,,,
1/4/2010,2410.1,2405.1,1746.3,18494.1,6291.6,1177.2,834524.7,34025.8,1228.7,,10776.6
1/5/2010,4058.6,3138.2,5958.2,19013.9,45568.7,847.3,756362.8,169045.6,5687.6,,18139.7
1/6/2010,9900.8,3549,6403.9,14854.1,38573,704.1,1761496,83741.3,2003.2,,33032.3
1/7/2010,13073.5,5897.1,3321.4,40320.4,116713.3,3024.6,1210274,45554.1,1109.9,,18280
1/8/2010,10187.6,6824.2,2415.9,22090.1,33296.1,1952.7,907402.5,17625,1265.3,,9769.5
1/11/2010,5286.2,3325.9,2706.1,10057.4,38770.6,1439.2,1006822,20890.6,1246.5,,11818.2
1/12/2010,10625.2,4623.6,3926.5,17857.9,32985.5,3452.3,1220063,22587,1948.6,,12330.7
1/13/2010,5401,3402.3,2260.4,9168.5,18718.4,5689.3,565575.3,8997.1,804.1,,24325.3
1/14/2010,5234.8,7427.3,9439.4,13129.8,49159.9,1839.3,408728.1,8712,2324.6,,23018.7
1/15/2010,6142.9,6427,3735.8,22374.8,30808.7,1472.7,470556.6,8377.2,558.5,,9739
1/18/2010,4600.6,4397.5,2996.5,15963.2,26295.5,2241.9,212476.9,7350.1,369.2,,10022.5
1/19/2010,5421.9,3934.6,3926.8,29522.4,34244.7,5247.5,632363.4,13929.3,1695.9,,14645
1/20/2010,7530.9,9524.7,4786.2,26390.4,43911.2,2025.2,489385.2,9896.6,1661.3,,12736.5
1/21/2010,9520.3,10891.4,3999.6,27047.7,16117.7,2550.8,307583.3,14049.9,1017.8,,16730.2
1/22/2010,6556.8,13091.2,4305.3,26851.5,17454.8,1552.4,1059043,11005.5,1185.6,,12164.7
1/25/2010,5896.1,8508.5,2648.7,29290,10674.3,1075.4,464432.7,11922.3,501.3,,13947.2
1/26/2010,4339.3,11421.8,3340,16540.6,22614.3,1298.5,439310.7,26786.1,1067.2,,6800.7
1/27/2010,4147.6,6320.7,3136.8,17415,12352,3304.1,425421.7,14176.6,1444.9,,19497.9
